"FIPS","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
24041,33350,33656,24710,25157,25445,25541,25807,25793,26139,26534,26474,26425,26470,26330,26117
24043,130476,131178,33895,34231,34628,34994,35793,36423,37000,37167,37307,37496,37782,37973,38055
24045,83103,83714,132051,133093,134831,136872,139423,142084,144286,146173,146674,146953,147430,148827,149215
24047,44681,45707,84899,85637,86679,88463,90210,92508,94621,96110,97111,98069,98733,100113,100555
24510,667479,657441,46828,47889,48752,49524,49994,50181,50678,51049,51196,51313,51454,51437,51511
34001,247863,250432,40543,40965,41399,42090,42547,42913,43396,43608,43767,43728,43742,43453,43179
34003,875050,880225,253674,255737,259263,263285,267723,270332,271759,272303,273014,274049,274549,275017,275604
34005,418250,420542,885180,888782,890647,892214,893378,891446,889406,890817,895328,900319,905116,913717,919694
34007,509451,509410,424453,429727,436445,442434,446548,447245,448373,447560,446831,447391,448734,450555,451226
34009,101883,102135,506707,506326,507899,508563,510137,511982,513195,513546,513853,513668,513657,513097,512906
34011,145924,146293,102314,102023,101694,101710,100482,99269,98695,97686,97550,97238,97265,96604,96460
34013,785348,789678,146263,146451,147294,148437,149837,152022,153371,154489,155738,156531,156898,157000,157071
34015,249996,252536,792253,794312,795625,795167,791305,786341,781027,778996,778165,781943,783969,786958,787579
34017,598238,603993,256524,258783,262909,267445,271714,275122,280015,284086,286072,287362,288288,289737,290094
34019,119031,120689,610135,616629,615554,614813,614607,614664,613577,613637,619533,628572,634266,647983,657113
34021,344013,348435,122579,124500,125892,126935,127583,128072,128535,128568,128449,128364,128349,127228,126492
34023,733257,742213,351465,353816,355935,358724,361248,362015,362840,363088,364119,365388,366513,368044,370087
34025,603050,610811,752880,761770,769280,775973,781582,787329,786890,792137,799191,805204,809858,817143,823670
34027,462263,467678,616849,620563,624532,627413,628605,627838,626934,626644,627348,628669,630380,629815,628782
34029,497395,504007,471326,473515,477234,481000,483997,485472,487486,488355,489743,490779,492276,495792,497310
34031,485760,488131,513608,523357,536069,545093,551262,556012,561302,565356,569485,573123,576567,579038,580682
34033,64899,64483,490733,493252,494571,494915,493981,493600,492730,492886,494904,498641,501226,504031,505101
34035,287065,293770,64177,64069,64434,64345,64835,65388,65831,65864,65974,66183,66083,66029,65627
34037,141509,142750,298761,301671,305255,307902,310424,312617,314993,317128,318856,321564,323444,326716,328580
34039,517715,520341,144714,146004,147712,149260,149906,150192,150508,150600,150145,149487,149265,148138,147033
34041,99458,101040,523124,526183,527625,527611,526916,526161,525153,524960,527528,532434,536499,540487,544465
36001,295097,294692,66453,67591,68401,68850,69021,70093,71661,73703,74879,75770,76569,76877,76639
36003,49991,49997,295106,296232,298283,301085,302173,302791,303997,303858,303739,304733,304204,305019,306384
36005,1300823,1317895,49819,50079,50014,50165,50311,49768,49359,49079,49177,48969,48946,48818,48247
36007,201072,200881,1334319,1346555,1358739,1362373,1358963,1351736,1348164,1354056,1363488,1376261,1385108,1399990,1414774
